مرتضویان,M632
سرپیچ,S612
همی‌گسارده‌اید,H526
چکیم,C250
برنمی‌گزینید,B652
مبادلات,M134
برعهده,B630
شمارناپذیر,S565
کلان,K450
بربدمیدم,B613
غرانید,G653
همی‌دوشیده‌اید,H532
جوزا,J200
مسئولیت‌پذیر,M243
می‌خارید,M263
اسباب‌ها,A210
می‌خاییدید,M230
قاسم‌آباد,G251
مبای,M100
مالمیری,M456
نینباشته‌ای,N512
نوشیدنی,N235
بگرازم,B262
همی‌باشد,H512
درهمی‌دهی,D653
مقررشدگان,M262
وامی‌کنیم,V525
تنقب,T521
سرآشپزی,S621
برمی‌گشتند,B652
کوشان,K250
هجرت,H263
بازمی‌گذاشته‌ایم,B252
نعلین,N450
فروهیده,F630
آرشیو,A620
سرنا,S650
گرازیده‌اید,G623
نمی‌آهنجم,N525
توانیر,T560
زیبایی‌آفرین,Z165
نیاراییم,N650
نرمیده‌ای,N653
ابوجهل,A124
ستمگر,S352
گُزیده‌بودم,G231
دقائق,D200
ملطفات,M431
قلقلی,G424
می‌سفته‌ام,M213
قزاقباشی,G212
نیوپورت,N163
نمی‌افزایند,N512
لندیده‌بودم,L531
نمی‌گماشتی,N525
نخارانده‌اید,N265
ساختارگرایانه,S236
خنده‌دار,X536
مشی,M200
بدوم,B350
برنگزین,B652
رمیده‌بودی,R531
ذنب,Z510
گذرد,G263
فرانگیرید,F652
سرنکشیده‌ایم,S652
دیریاز,D620
می‌گریخته‌ام,M262
بیفتادم,B135
نگردانیدن,N263
نمی‌گندند,N525
ضمیمه,Z500
نتراشاندیم,N362
همی‌رینند,H565
نمی‌درخشیدید,N536
رسانیدیم,R253
بپژوهیدم,B123
پانه,P500
فهمیدم,F535
واهمی‌رهاندم,V565
جنینی,J500
همه‌چیزدان,H523
موذیگری,M260
مخفی‌شده,M212
بلیسد,B423
هراسیم,H625
غیرآلاینده,G645
جافی,J100
ساحره,S600
می‌گردیده‌اند,M263
سرهمی‌گرفتیم,S652
نمی‌فرهیختند,N516
نمس,N520
پیجر,P260
باش,B200
شلم‌شوربا,S452
نمی‌برده,N516
عالمگیر,A452
هنرشناسی,H562
نمی‌ستیزم,N523
ترکیه,T620
رسالت‌پیشگان,R243
ببخشید,B123
پا,P000
طاهباز,T120
می‌گسترانیده,M236
انزلی,A524
پادرازی,P362
همی‌پاشانده‌ام,H512
بفهماندم,B153
نوشانده‌بودیم,N253
زنجاب,Z521
مسامحه,M250
شأن‌ساخته,S523
بریسیدید,B623
دربرنگرفتید,D616
