در,D600
به,B000
از,A200
که,K000
می,M000
این,A500
را,R000
است,A230
با,B000
های,H000
برای,B600
آن,A500
ها,H000
یک,Y200
شود,S300
شده,S300
خود,X300
کرد,K630
ای,A000
شد,S300
سال,S400
تا,T000
کند,K530
بود,B300
بر,B600
ایران,A650
کشور,K260
هم,H500
گفت,G130
نیز,N200
دارد,D630
وی,V000
کنند,K530
کرده,K630
اما,A500
ما,M000
اند,A530
یا,Y000
باید,B300
دو,D000
تهران,T650
قرار,G600
هر,H600
آنها,A500
او,A000
دیگر,D260
خواهد,X300
مورد,M630
باشد,B230
نمی,N500
کار,K600
روز,R200
سازمان,S250
شرکت,S623
بین,B500
مردم,M635
دولت,D430
آمریکا,A562
عنوان,A500
پیش,P200
اسلامی,A245
پس,P200
برنامه,B650
دست,D230
وجود,V230
نظر,N260
گروه,G600
رئیس,R200
گزارش,G262
صورت,S630
اگر,A260
تیم,T500
حال,H400
یکی,Y200
همه,H500
هستند,H235
اعلام,A450
طرح,T600
من,M500
شهر,S600
دهد,D300
انجام,A525
نیست,N230
بخش,B200
گذشته,G230
داد,D300
هزار,H260
بی,B000
استفاده,A231
درصد,D623
افزایش,A120
داشت,D230
جمهوری,J560
داشته,D230
چه,C000
ملی,M400
توجه,T200
راه,R000
داده,D300
بوده,B300
اقتصادی,A232
همین,H500
کردند,K635
جامعه,J500
دارند,D653
ماه,M000
سیاسی,S200
هایی,H000
سه,S000
جهان,J500
منطقه,M532
همچنین,H525
اجتماعی,A235
عراق,A620
روی,R000
شورای,S600
افزود,A123
فیلم,F450
توسعه,T200
بیشتر,B236
شوند,S530
گرفته,G613
مجلس,M242
زمینه,Z500
چند,C530
بسیار,B260
سوی,S000
ایجاد,A230
حضور,H260
فرهنگی,F652
تنها,T500
جدید,J300
تولید,T430
توان,T500
وزیر,V260
میان,M500
ادامه,A350
میلیون,M450
هیچ,H200
بازی,B200
شدن,S350
جهانی,J500
تواند,T530
وزارت,V263
زندگی,Z532
نفر,N160
قانون,G500
سرمایه,S650
کشورهای,K260
بعد,B300
اینکه,A520
کنیم,K500
دلیل,D400
نام,N500
زمان,Z500
اول,A400
بررسی,B620
کاهش,K200
کردن,K635
ولی,V400
قیمت,G530
بیش,B200
برخی,B620
نه,N000
حتی,H300
آموزش,A520
اشاره,A260
نشان,N250
نسبت,N213
آغاز,A200
پایان,P500
آینده,A530
گوید,G300
کتاب,K310
درباره,D616
شما,S500
چنین,C500
گفته,G130
عمومی,A500
توسط,T230
دوره,D600
بار,B600
المللی,A454
طور,T600
گیرد,G630
تر,T600
دانشگاه,D520
فعالیت,F430
بودند,B353
هفته,H130
افراد,A163
تمام,T500
مختلف,M234
بزرگ,B262
امروز,A562
بسیاری,B260
گرفت,G613
امور,A560
نفت,N130
فرهنگ,F652
شدند,S353
بازار,B260
استان,A235
تاکید,T230
ترین,T650
برگزار,B626
دوم,D500
دهند,D530
ندارد,N363
ویژه,V200
خانه,X500
طی,T000
چون,C500
روزنامه,R250
حدود,H300
آب,A100
نظام,N250
بدون,B350
میلیارد,M463
خارجی,X620
دکتر,D236
ارائه,A600
همان,H500
گذاری,G260
شرایط,S630
دیگری,D260
اجرای,A260
آنان,A500
جهت,J300
اصلی,A240
جنگ,J520
تشکیل,T240
فوتبال,F314
حاضر,H260
باشند,B253
البته,A413
جمله,J540
وارد,V630
شهرداری,S636
موضوع,M200
کمک,K520
قابل,G140
هزینه,H250
انتخابات,A532
دیروز,D620
رشد,R230
نقش,N200
میزان,M250
آقای,A200
هیات,H300
یعنی,Y500
مشکلات,M243
کل,K400
سر,S600
مهم,M500
شهری,S600
سازی,S200
گونه,G500
عمل,A540
ساخت,S230
هنوز,H520
تامین,T500
نتیجه,N320
خانواده,X530
کم,K500
